Date,Open,High,Low,Volume,Close
2006-08-31,37800,39150,37700,911440,38450
2006-09-01,38300,38400,37750,521799,38250
2006-09-04,38500,38850,37350,848523,37800
2006-09-05,38000,38000,36750,1241288,37200
2006-09-06,36950,36950,35900,1348092,36100
2006-09-07,35450,35450,34950,1245042,35000
2006-09-08,34650,35250,34500,1126033,35100
2006-09-11,35200,35500,34150,1049206,34250
2006-09-12,34400,34900,34200,549685,34450
2006-09-13,35100,35450,34800,927688,35100
2006-09-14,35300,36700,35150,1564289,36700
2006-09-15,36700,37000,36050,646986,36750
2006-09-18,36800,36950,36200,1084783,36500
2006-09-19,36450,36650,35150,1938054,35250
2006-09-20,34300,34600,32950,3225557,33800
2006-09-21,34100,34400,33150,1371558,33650
2006-09-22,33000,33000,31550,2461143,32100
2006-09-25,31350,32100,31350,1247359,31900
2006-09-26,31850,32050,30150,2198173,30350
2006-09-27,30350,30900,29900,1843199,30000
2006-09-28,30050,30700,29950,2055056,30550
2006-09-29,31050,32150,31050,2585456,31400
2006-10-02,31300,32100,31100,1348594,31900
2006-10-04,31900,31900,31000,1525770,31300
2006-10-09,31300,31900,30000,2743117,31000
2006-10-10,30900,31150,30250,1437026,30400
2006-10-11,28450,29300,28400,2766485,28700
2006-10-12,28700,29400,28700,1500870,28850
2006-10-13,29300,29550,28750,1405903,28800
2006-10-16,28950,29800,28800,1599468,29800
2006-10-17,30150,30200,29100,806338,29700
2006-10-18,29500,29500,28850,637504,29400
2006-10-19,29300,29500,28650,850584,28800
2006-10-20,29000,29750,28950,928412,29450
2006-10-23,29350,29350,28750,985593,28750
2006-10-24,28950,29050,28150,1270420,28300
2006-10-25,28200,28800,28200,917449,28300
2006-10-26,28600,28750,28100,1039584,28100
2006-10-27,28350,28800,28250,924363,28550
2006-10-30,28500,29050,28400,928659,28750
2006-10-31,28900,30250,28700,2094620,30000
2006-11-01,30200,30850,30200,1462909,30300
2006-11-02,30200,30850,30200,1462909,30300
2006-11-03,30400,30400,29900,791560,29950
2006-11-06,29650,29700,28900,802958,29500
2006-11-07,29750,30700,29200,1496385,30600
2006-11-08,30800,31300,30300,1036605,30300
2006-11-09,30500,30900,30000,1614142,30450
2006-11-10,30150,30800,29800,902656,30200
2006-11-13,30200,30600,29950,653020,30050
2006-11-14,30300,30950,30300,1067968,30800
2006-11-15,31400,32250,31400,2581339,32000
2006-11-16,32500,32800,31050,1900242,31150
2006-11-17,31100,31100,30600,1065176,30600
2006-11-20,30550,31100,30200,1126030,30950
2006-11-21,30700,30950,30450,901952,30550
2006-11-22,30700,30850,29900,1415039,30000
2006-11-23,30000,30150,28900,2161435,28900
2006-11-24,28850,29150,28700,958608,28950
2006-11-27,28750,29050,28550,1474979,28600
2006-11-28,28050,28500,28000,1282445,28300
2006-11-29,28300,29000,28300,1002777,28700
2006-11-30,28900,29400,28850,876877,29000
2006-12-01,29250,29500,28850,720488,28900
2006-12-04,28600,28650,27950,1464900,28150
2006-12-05,28500,28650,27850,1205972,27950
2006-12-06,28200,28400,27700,1246478,27900
2006-12-07,28100,28450,27850,765070,28050
2006-12-08,27900,27900,27000,1171755,27300
2006-12-11,27300,27450,26750,1048373,27000
2006-12-12,26500,26500,24950,2865819,25850
2006-12-13,25600,26000,25100,1667196,25550
2006-12-14,26000,26550,25600,2306721,26550
2006-12-15,26700,27050,26200,1312787,26700
2006-12-18,26550,26900,26500,928382,26750
2006-12-19,26750,27900,26750,1628463,27900
2006-12-20,27750,28150,27550,816995,27800
2006-12-21,27600,27800,27200,458741,27300
2006-12-22,27250,27500,26900,620783,27300
2006-12-26,27300,28200,27300,1187545,27800
2006-12-27,27750,28450,27750,923162,28100
2006-12-28,28200,28550,27850,465078,27850
2007-01-02,27850,29250,27850,983488,29250
2007-01-03,29250,29750,28650,1084172,29000
2007-01-04,29500,30150,29350,1533022,29550
2007-01-05,29550,29950,28500,1077193,28600
2007-01-08,28200,28850,28100,708302,28400
2007-01-09,28400,28850,27950,982407,28400
2007-01-10,28400,28700,27950,501127,28200
2007-01-11,28200,28500,28000,313739,28250
2007-01-12,28400,28950,28400,550944,28800
2007-01-15,28800,29250,28450,360767,28900
2007-01-16,28650,29400,28400,545355,29200
2007-01-17,28550,28900,27600,920318,28000
2007-01-18,28100,28200,27300,486410,27500
2007-01-19,27100,27300,26500,730724,27000
2007-01-22,26800,27750,26800,343519,27350
2007-01-23,26950,27800,26850,220614,27500
2007-01-24,27800,28400,27750,309672,28150
2007-01-25,29050,29350,28700,581100,28850
2007-01-26,28400,28600,27400,683757,27900
2007-01-29,27500,27950,27050,580584,27900
2007-01-30,28200,28200,26700,925909,27250
2007-01-31,27000,27100,26000,1367539,26250
2007-02-01,26200,26700,26000,1110138,26700
