Date,Open,High,Low,Volume,Close
2015-09-14,265500,274500,258500,242045,272000
2015-09-15,270500,271000,262000,157280,270000
2015-09-16,273500,284500,269500,208569,277500
2015-09-17,282000,287000,277500,168749,280500
2015-09-18,282000,284500,275500,130725,276500
2015-09-21,267000,274000,267000,94875,270500
2015-09-22,275500,277500,269500,111286,271000
2015-09-23,266500,275000,258000,172641,259000
2015-09-24,259500,267500,259000,107782,264000
2015-09-25,269500,269500,262000,86428,262000
2015-09-30,269500,270000,250000,343666,270000
2015-10-01,267000,270000,263000,134875,266500
2015-10-02,266000,269500,260000,126253,267000
2015-10-05,269500,278500,268000,168026,273500
2015-10-06,278000,282000,271000,133476,274000
2015-10-07,275000,279000,273500,107419,277500
2015-10-08,279500,280000,263000,170281,264000
2015-10-12,264000,273500,264000,144496,271000
2015-10-13,270500,271000,262000,142693,265000
2015-10-14,261000,264000,256000,111645,258000
2015-10-15,258500,271500,258000,145018,271000
2015-10-16,271000,279000,270000,92161,273500
2015-10-19,277500,277500,264000,127329,267000
2015-10-20,268000,268000,260000,109698,263000
2015-10-21,265000,266500,262000,82579,263500
2015-10-22,260500,263500,255500,100648,256000
2015-10-23,263000,273500,263000,186459,273000
2015-10-26,275000,286000,274000,210331,286000
2015-10-27,286500,286500,278000,107299,283000
2015-10-28,282500,290500,275000,132269,281000
2015-10-29,283500,284000,275000,111443,279000
2015-10-30,258000,267500,240500,842765,240500
2015-11-02,244000,251500,240000,331201,243500
2015-11-03,243500,248500,240500,216007,240500
2015-11-04,243000,249500,243000,180878,249500
2015-11-05,254000,255500,246000,186077,246500
2015-11-06,245000,250500,244000,96553,244500
2015-11-09,241000,241500,230500,217553,231500
2015-11-10,228500,234000,228500,136613,229500
2015-11-11,230000,233000,222000,174929,227000
2015-11-12,225000,228500,223500,79423,225000
2015-11-13,219500,227500,219500,83185,226000
2015-11-16,217000,228000,217000,83459,224500
2015-11-17,231500,232500,228000,131388,230000
2015-11-18,230500,232000,228000,101759,230000
2015-11-19,233000,242000,233000,173823,240000
2015-11-20,240500,249500,240500,154339,245500
2015-11-23,247000,250500,246500,104629,248500
2015-11-24,248000,251000,245000,108815,249000
2015-11-25,250500,252500,246500,55593,249000
2015-11-26,248000,250000,243000,96013,246500
2015-11-27,247500,250000,244000,45471,247000
2015-11-30,245500,248000,240000,137570,240500
2015-12-01,241000,250500,240500,110805,250000
2015-12-02,250000,250500,245500,73964,246000
2015-12-03,243000,247500,240500,96270,246500
2015-12-04,242500,245000,241000,63721,241500
2015-12-07,244000,246500,236500,79566,236500
2015-12-08,236000,238500,230000,83365,236500
2015-12-09,238500,244500,236500,109654,237000
2015-12-10,235500,237000,232000,99627,232000
2015-12-11,232000,236000,228500,124956,230000
2015-12-14,225500,233500,225500,94811,232000
2015-12-15,231500,233500,215500,267623,221000
2015-12-16,224000,235000,221000,203908,234500
2015-12-17,235000,236000,229500,103100,231500
2015-12-18,231000,239000,229500,108768,239000
2015-12-21,237500,241000,236500,57121,239500
2015-12-22,241500,242000,237500,47547,241000
2015-12-23,242000,246000,241000,126737,243500
2015-12-24,247500,247500,243500,60501,243500
2015-12-28,243500,245000,235500,73625,236500
2015-12-29,237000,243000,236500,57444,240500
2015-12-30,240500,245500,239000,75309,243500
2016-01-04,243500,255500,243500,228166,245000
2016-01-05,246000,254000,245500,204402,250000
2016-01-06,251500,262000,250000,253335,260000
2016-01-07,257000,260000,253000,125124,253500
2016-01-08,249500,265000,249500,152703,264500
2016-01-11,261000,266500,256000,95112,258000
2016-01-12,260500,266000,260000,112148,262000
2016-01-13,265000,265000,258000,92364,260500
2016-01-14,254500,256000,247000,183802,256000
2016-01-15,259000,259000,247000,88520,248500
2016-01-18,246000,255000,245000,83932,254000
2016-01-19,254000,256000,248000,87605,255000
2016-01-20,255000,256000,238500,113742,242000
2016-01-21,245500,253500,242000,116779,252500
2016-01-22,255000,256000,242000,107621,248000
2016-01-25,251500,261500,248000,189115,259000
2016-01-26,256500,258000,250000,208009,251500
2016-01-27,258500,269500,256500,230835,269500
2016-01-28,267500,276000,264000,158809,270500
2016-01-29,274000,275500,268500,95754,275000
2016-02-01,276000,277500,269500,111901,277500
2016-02-02,274000,274500,264500,158071,274500
2016-02-03,277500,285000,277000,317167,282500
2016-02-04,283500,293000,277500,173973,293000
2016-02-05,293000,293000,284000,112141,287500
2016-02-11,287500,287500,276000,111994,280000
2016-02-12,278500,279500,266500,184778,269000
2016-02-15,273000,277500,270500,117904,270500
2016-02-16,274000,288500,274000,113628,285500
2016-02-17,283000,289000,280500,117316,283500
2016-02-18,289500,294500,280500,130476,284500
2016-02-19,283500,294000,281000,123626,294000
2016-02-22,294000,306500,292000,212523,305000
2016-02-23,307500,313500,305000,170645,309500
2016-02-24,306500,313500,304000,89056,307000
2016-02-25,310500,315500,306000,138259,309500
2016-02-26,312500,313500,304500,83433,311000
2016-02-29,311000,322000,308500,136425,319500
2016-03-02,319500,334500,319500,183097,331000
2016-03-03,331000,332000,316000,199895,316500
2016-03-04,316000,319500,309000,181844,313500
2016-03-07,317000,324000,313500,111675,316000
2016-03-08,316000,323000,311500,81511,316000
2016-03-09,318000,319000,308000,103424,310000
2016-03-10,316500,323500,313500,187225,321000
2016-03-11,319500,321000,314000,77702,315500
2016-03-14,320000,330000,319500,120805,326500
2016-03-15,325000,329500,316500,114595,320000
2016-03-16,320000,323000,309000,146516,309500
2016-03-17,314500,326000,314000,164668,325500
2016-03-18,333000,334000,324000,131675,324000
